date,airport_code,temperature,visibility,wind_speed,rain,fog,storm
12-12-2025,CCU,15,5.3,15.9,0,1,0
24-07-2025,PNQ,19.8,9.3,23.1,1,1,1
15-06-2025,BLR,34.7,3,6.5,1,0,0
14-09-2025,COK,13.6,3.2,30.6,0,0,0
11-05-2025,MAA,13.8,4.9,13.9,0,1,1
06-06-2025,AMD,32.6,7.2,29.3,1,1,1
25-09-2025,AMD,17.8,2.2,14.3,1,0,0
19-09-2025,HYD,34.1,3.1,16.7,0,0,0
31-03-2025,GOI,20.8,8.5,19.8,0,1,0
25-03-2025,PNQ,27.9,4.1,1.8,0,1,0
15-05-2025,PNQ,12.6,1,29.4,1,1,0
11-04-2025,AMD,15.8,2.6,9.1,0,1,0
16-12-2025,COK,32.7,4.9,31.4,0,1,0
21-10-2025,PNQ,16.8,4.2,23.1,0,1,0
15-12-2025,HYD,12.3,7.5,12.9,0,0,1
13-07-2025,HYD,32.5,1.3,20.4,1,0,0
06-09-2025,DEL,17.1,5.3,28.3,1,1,1
26-07-2025,PNQ,11.9,6.3,31.8,0,1,1
31-08-2025,HYD,27.2,1.4,29.6,1,1,1
18-03-2025,PNQ,33.5,4.5,29.3,0,0,0
16-11-2025,MAA,23.4,6.8,33.1,1,0,0
13-01-2025,CCU,15.7,5.6,22.6,0,1,0
14-02-2025,AMD,33.1,8.7,13.9,1,0,1
13-04-2025,BOM,38.4,2.7,23,1,0,1
18-02-2025,DEL,42,1.5,32.6,1,0,1
16-09-2025,PNQ,14.6,7.2,32.5,0,1,0
25-07-2025,DEL,15.7,9.3,6.9,0,1,1
12-03-2025,GOI,24.1,1.4,34,1,0,1
21-04-2025,MAA,38.7,4,32.7,1,1,0
12-09-2025,GOI,17.4,2.9,22.8,1,1,1
20-02-2025,BLR,10.7,7.4,5.3,1,1,1
14-07-2025,BLR,32.7,7.1,6.7,0,0,0
03-10-2025,HYD,37,2.9,26,0,0,1
26-10-2025,BLR,28.1,8,13.3,1,1,0
14-01-2025,CCU,16.8,6.1,32.2,0,1,1
29-06-2025,GOI,17.8,5.7,34.8,1,1,1
25-06-2025,HYD,28.4,1.1,4,0,1,0
20-07-2025,COK,29,4.7,2.7,1,1,0
30-07-2025,HYD,19.4,5.9,34.2,1,0,0
19-05-2025,COK,40,6.9,27.5,0,0,1
09-09-2025,CCU,40.7,4.3,13.5,0,1,1
10-02-2025,AMD,28.5,4,15.5,0,0,0
24-09-2025,BOM,34.3,7.6,29.2,1,0,1
08-03-2025,AMD,20.3,8.9,21.5,0,1,1
28-08-2025,COK,11.4,6.1,19.4,0,1,1
30-03-2025,MAA,18.7,2,15.5,1,1,0
29-01-2025,GOI,31.1,8.2,0.3,0,1,0
19-06-2025,MAA,29.8,9.8,11.2,1,0,0
07-02-2025,BOM,30,1.8,32.9,1,0,1
04-08-2025,MAA,17.1,7.6,32.4,1,0,1
28-10-2025,BOM,22.7,5.8,9.4,1,1,1
12-04-2025,BOM,16.9,2.3,2,0,1,0
02-02-2025,BOM,11.7,4.7,17.7,1,0,0
31-01-2025,MAA,36,8,1.1,1,1,1
26-07-2025,AMD,23.4,9.8,16.6,1,1,0
05-12-2025,PNQ,22.5,1.1,18.7,0,0,1
20-04-2025,BLR,33.2,9.6,4.6,0,0,1
14-12-2025,DEL,40.5,4.2,27.4,1,0,0
08-07-2025,BOM,18.5,5.3,16.6,0,1,1
06-03-2025,BOM,35.2,7.3,28.9,0,1,1
17-01-2025,BOM,38,1.5,30.6,1,0,1
14-12-2025,AMD,25.9,9.1,0.9,1,0,1
24-02-2025,BLR,24.7,2.4,33,1,0,0
08-05-2025,COK,32.8,4.9,13.5,1,1,1
07-03-2025,HYD,19.6,3.2,9.8,1,1,0
24-01-2025,CCU,11,1.3,0.3,0,0,0
09-10-2025,AMD,33.8,4.8,7.2,1,1,0
18-01-2025,BLR,39.7,7.8,28,0,0,0
20-05-2025,BOM,25,1,25.9,0,1,0
04-03-2025,AMD,16.3,9.9,8.3,1,1,1
05-03-2025,HYD,19.2,9.8,30.5,0,1,0
08-08-2025,CCU,10.8,5.3,0.3,0,0,1
11-01-2025,PNQ,36.6,8.8,15.9,1,1,1
15-03-2025,BOM,30,9.5,6.7,0,1,1
03-12-2025,BLR,36.8,8.7,21.1,0,1,0
06-08-2025,DEL,25.3,4,22.2,0,0,0
26-12-2025,GOI,11.1,2.7,28.5,1,0,0
15-08-2025,AMD,11.3,1.3,15.9,1,1,1
13-05-2025,COK,16.3,7.2,19.2,1,1,1
04-06-2025,AMD,41.7,8.2,34.5,1,1,0
29-03-2025,GOI,40.9,2.3,9.9,0,0,1
18-07-2025,MAA,39.7,9.5,15.7,1,0,0
07-11-2025,BLR,28.3,2.4,17.7,0,0,0
20-01-2025,GOI,21.7,1.1,24.1,0,0,0
21-12-2025,GOI,18.6,3.3,30.4,1,1,1
18-07-2025,BOM,37.5,5.7,14,1,0,0
06-03-2025,GOI,16.7,8.9,6,1,1,0
08-02-2025,AMD,14.1,9.3,16.6,0,0,0
26-11-2025,PNQ,39.1,8.6,24.1,0,0,0
20-04-2025,BOM,23.9,4.4,5.4,1,0,1
27-01-2025,MAA,17.8,2.4,22.5,0,1,0
02-07-2025,CCU,13.4,4,12.9,1,1,1
16-02-2025,MAA,32.9,9.2,31.3,0,1,0
01-01-2025,GOI,11,4.6,17.3,0,0,1
09-08-2025,CCU,29.3,8.9,21.3,0,1,0
12-03-2025,COK,32.7,8.7,13.3,0,0,1
01-04-2025,BLR,19.5,1.2,7.5,0,1,0
09-07-2025,MAA,17.5,2.9,22,0,0,0
25-10-2025,BOM,12.7,5.3,26.9,1,1,1
10-02-2025,DEL,10.4,3.1,16.8,1,0,0
28-06-2025,BOM,31,9.8,30.3,0,0,0
10-04-2025,HYD,27.8,7.1,0.4,1,1,0
18-06-2025,GOI,22.8,6.3,6.7,1,0,0
03-08-2025,PNQ,28,2.9,10.1,0,0,1
09-05-2025,DEL,33.2,4.5,19.4,1,1,0
30-09-2025,COK,26.4,9.2,3.9,0,0,1
23-07-2025,BOM,23.3,4.5,1.9,1,1,1
09-09-2025,DEL,26.9,4.9,13.1,1,0,0
04-05-2025,PNQ,19,5,6,1,1,1
05-07-2025,GOI,24.9,9.6,18.9,0,0,1
14-11-2025,DEL,14.9,9.2,13.8,1,0,1
15-06-2025,BLR,31.1,4,15.3,1,1,0
11-12-2025,MAA,10.1,9.1,34.6,1,1,0
30-05-2025,MAA,41,8.3,31.2,1,1,0
17-08-2025,PNQ,14.5,6,2.4,0,1,0
28-08-2025,HYD,24.3,6.5,7.2,0,0,0
17-02-2025,BLR,29.2,9.3,32.5,0,1,0
23-09-2025,DEL,18,6.5,9.5,1,0,0
06-09-2025,BOM,19.2,5.5,26.5,0,0,1
21-09-2025,BOM,28.6,6.2,25.6,0,1,1
13-11-2025,BOM,10.6,3.1,32.3,0,0,0
14-12-2025,BOM,13.9,4.5,30.3,1,1,1
17-08-2025,DEL,19.3,1.2,21.6,0,1,0
18-03-2025,CCU,23.4,2.6,31.2,1,1,1
19-12-2025,MAA,37.4,8.7,6.5,1,1,1
21-12-2025,BOM,35.7,8.5,18.5,1,1,0
11-11-2025,CCU,25.3,4.6,6.3,0,0,0
14-04-2025,GOI,41.4,4.7,0.5,1,1,1
10-08-2025,PNQ,27.6,9.3,27.1,1,0,1
15-11-2025,BOM,21.6,2.8,17.9,1,0,0
22-09-2025,BLR,37.3,4.9,23.9,1,1,1
19-01-2025,AMD,25.3,3.3,26.4,1,0,1
06-03-2025,AMD,37.5,1.4,5.1,1,0,0
09-05-2025,HYD,22.2,6.9,4.7,0,0,0
14-01-2025,COK,37.6,4.1,4.5,0,1,1
11-09-2025,HYD,25.1,5.5,34.6,0,0,1
20-06-2025,COK,12.7,8.5,23.7,0,0,0
08-07-2025,COK,14.5,6,6.6,1,0,0
21-09-2025,GOI,11.4,10,10.6,1,0,0
16-10-2025,BOM,11.1,3.7,17.3,0,1,0
27-04-2025,MAA,21.1,2,28.8,1,0,1
08-11-2025,AMD,15.6,2.8,22.2,0,0,1
11-09-2025,AMD,40.7,7.8,1.1,1,1,1
15-11-2025,HYD,10.7,4.4,18.5,0,0,0
31-05-2025,CCU,28.3,7.6,1.6,1,1,0
15-03-2025,MAA,11.9,3.6,15.1,1,0,0
07-09-2025,GOI,10.4,7.9,3.5,0,0,0
25-07-2025,COK,33.7,9.9,15.6,1,1,0
04-02-2025,COK,23.2,5,26.3,1,0,1
27-06-2025,AMD,29.5,9.8,30.5,0,1,0
14-01-2025,BOM,40.2,3.9,7.6,1,1,0
14-05-2025,CCU,24.7,2.1,8.4,0,0,0
27-02-2025,COK,11.9,8.4,18.5,0,0,0
03-05-2025,BLR,28.8,6,23.3,1,1,1
21-05-2025,AMD,12.6,4.7,29.9,1,1,1
16-12-2025,PNQ,37.5,8.9,15.2,0,1,0
28-04-2025,PNQ,39.3,2.6,14.9,0,0,0
19-01-2025,PNQ,17.8,2.6,22.8,0,1,0
10-10-2025,BLR,34.1,6.3,16.4,0,1,1
28-07-2025,BLR,10.7,4.6,32.6,1,1,1
07-11-2025,PNQ,20.5,5.9,34.3,1,1,0
17-11-2025,CCU,35.4,8.6,4.7,0,0,1
20-04-2025,BLR,13.4,5,33.6,1,1,1
25-01-2025,BLR,39.5,1.3,26,1,0,0
27-04-2025,GOI,10.4,3.5,4.7,1,1,0
20-08-2025,HYD,35.6,6.8,3.4,0,0,1
23-03-2025,AMD,33.4,4.3,11.6,1,0,1
10-06-2025,COK,15,5.3,11.1,1,0,1
06-03-2025,BLR,33.5,1.3,24.1,1,1,1
22-07-2025,AMD,40.4,3.9,32.2,0,0,1
28-01-2025,BLR,10.3,2.9,10,0,1,1
15-03-2025,CCU,14.8,1.9,28.4,1,1,1
10-11-2025,MAA,27.1,4.9,6.6,0,0,0
12-02-2025,PNQ,38.6,8,28.4,1,1,0
13-10-2025,DEL,10.4,9.7,10.4,0,1,0
26-09-2025,BOM,14.9,9.8,22.7,1,0,1
10-07-2025,MAA,35.2,4.6,1.6,0,1,0
05-04-2025,HYD,10.8,8.5,33.2,1,1,0
17-09-2025,HYD,33.6,3.2,7.8,1,1,0
26-04-2025,BLR,33.8,3.7,14.8,0,1,0
21-12-2025,BLR,10.8,2.9,19.5,1,0,0
05-06-2025,GOI,29.9,8.1,7,1,1,1
12-09-2025,DEL,15.5,1.9,10.3,0,1,1
24-06-2025,CCU,11.1,5.6,30.1,1,1,1
16-02-2025,BLR,34.8,8.3,10.5,1,0,0
02-11-2025,CCU,14.8,3.2,29.1,0,1,0
06-04-2025,BLR,33.8,2,20.7,0,1,0
22-04-2025,AMD,33.1,5.6,20.6,0,1,1
10-11-2025,GOI,28.3,9.8,30.9,1,0,1
19-05-2025,PNQ,35.2,9.6,15.3,1,0,0
17-04-2025,AMD,32.2,2.8,12.6,1,0,0
18-07-2025,DEL,25,8.9,32.3,0,0,1
08-06-2025,BOM,19.9,1.5,25.9,0,0,1
04-04-2025,BLR,26.5,4.5,27.6,1,1,1
04-02-2025,COK,37.2,5.3,18.2,0,0,1
22-08-2025,CCU,24.5,6.8,15.1,1,1,1
01-01-2025,BLR,19.4,8.4,25.2,0,0,1
17-09-2025,DEL,36.3,4.8,6.1,1,0,0
24-02-2025,DEL,39.5,2.6,27.6,0,1,0
30-05-2025,HYD,28.7,7.9,23.7,1,0,1
28-12-2025,CCU,30.1,8.8,13,0,0,0
11-06-2025,AMD,34.9,7.2,31,0,0,0
12-10-2025,BOM,22.9,9.7,28.2,1,0,0
07-11-2025,PNQ,11.5,6.8,5.5,0,1,0
06-03-2025,GOI,20.8,8.9,18.1,1,1,1
04-11-2025,AMD,21.9,4,10.5,1,0,1
10-01-2025,AMD,26.9,1.7,11.8,1,1,0
17-02-2025,COK,16.1,9.7,11.3,1,1,1
07-09-2025,GOI,37,4.1,19.5,0,1,1
10-07-2025,HYD,18.2,3.8,17.1,0,1,0
09-06-2025,HYD,17.8,3.7,10.4,0,1,0
15-08-2025,CCU,32.6,7.7,6.6,1,1,1
09-10-2025,MAA,33.6,4,9.7,1,0,1
09-11-2025,DEL,26.5,4.8,5.2,1,1,1
22-03-2025,COK,25,3.4,7,0,0,1
20-08-2025,GOI,39.2,6.1,21.5,0,1,1
18-06-2025,CCU,15.5,8.9,33.4,0,1,0
03-05-2025,GOI,15.1,7.7,24.5,1,0,1
11-01-2025,BOM,22.5,7.7,34.8,0,1,1
17-04-2025,GOI,20.1,4.3,12.9,1,1,1
02-04-2025,CCU,28.3,1.1,19.8,0,0,0
10-01-2025,HYD,40.7,3.8,3.4,0,0,0
03-04-2025,BOM,40.8,3.2,24,0,0,0
26-08-2025,MAA,13.1,9.2,25.8,0,0,0
02-09-2025,CCU,27.7,7.4,32.8,1,1,0
02-02-2025,PNQ,35,8.3,15.6,0,0,0
26-04-2025,DEL,13.9,2.8,20.5,1,1,0
08-12-2025,HYD,20.9,8.1,8.8,0,0,0
26-11-2025,BOM,18.4,4.9,4.7,1,1,1
07-09-2025,HYD,13.2,4.7,19.1,1,0,1
23-01-2025,GOI,12.5,9.6,34.1,0,0,0
16-03-2025,AMD,39.9,8.4,26.1,0,0,1
14-11-2025,MAA,21.9,4.4,0.5,1,0,0
21-03-2025,HYD,12.7,2.4,20.1,1,1,1
01-01-2025,BOM,10.3,9.6,12.7,1,1,0
12-06-2025,BOM,27,4.5,27.7,0,1,0
02-07-2025,AMD,19.9,3.6,12.9,1,1,0
27-12-2025,MAA,40.5,3.1,24.3,1,0,0
26-03-2025,DEL,29.9,5.1,24.1,0,1,1
29-10-2025,GOI,35.8,8,27.1,0,1,1
01-07-2025,GOI,25.7,1.7,12,0,1,1
23-09-2025,GOI,24.6,9.8,16,1,1,1
18-03-2025,GOI,39.5,7.3,33.1,0,0,0
06-10-2025,COK,30.4,4.5,32.7,1,1,0
25-11-2025,BOM,16,8.8,16.9,1,1,0
01-02-2025,CCU,25,2.9,10.4,0,0,0
17-02-2025,CCU,23.8,9.9,34.8,0,1,1
12-04-2025,CCU,40.4,1.4,24.1,0,1,1
24-08-2025,DEL,38,2,17.9,1,1,0
10-08-2025,BLR,40.4,1.5,18.1,1,0,0
26-09-2025,BOM,32.1,7.7,24.2,1,1,1
27-07-2025,MAA,35.7,2.9,19.8,1,1,1
25-09-2025,BLR,13.5,8.9,4.4,0,1,1
27-01-2025,DEL,10.8,2.5,27.3,0,1,1
17-09-2025,DEL,37.4,7.5,15.8,0,1,1
14-01-2025,PNQ,23.3,9.4,9.3,0,0,1
21-01-2025,CCU,29.7,8.2,31.8,1,0,1
14-01-2025,BOM,15.9,6.8,29.4,1,1,0
09-04-2025,CCU,16.4,7.2,28.7,1,0,0
21-02-2025,AMD,22,3,31.1,1,1,0
19-08-2025,PNQ,34.7,2.4,19.6,0,1,0
17-12-2025,DEL,13.3,7,33.9,1,0,0
29-04-2025,BOM,28.8,8.7,17.1,0,1,0
07-01-2025,PNQ,30,2.4,3.3,1,0,0
21-09-2025,BLR,16.6,3.9,3.5,1,0,0
17-11-2025,DEL,34.8,1.2,24.1,1,0,0
17-08-2025,PNQ,38.2,6.5,18.4,0,1,0
07-12-2025,BLR,35.9,6.6,1,1,0,1
23-05-2025,GOI,16.4,6.4,9.8,1,0,0
07-10-2025,DEL,28.5,6.6,3.2,0,0,1
15-06-2025,BOM,23.5,3.6,23.9,0,0,1
04-12-2025,BLR,14.4,2.9,6.2,0,0,0
18-02-2025,MAA,26,2.7,21.9,1,0,1
08-12-2025,BLR,11.4,3.4,4.9,0,1,1
27-11-2025,BOM,34.8,7.9,30.7,1,0,1
06-04-2025,GOI,28.1,7.7,2.5,0,1,1
13-07-2025,HYD,24.8,5.6,8.8,1,0,1
07-04-2025,CCU,19.1,3.8,32.4,1,0,1
08-01-2025,COK,38.6,1.8,8,0,1,1
15-09-2025,GOI,22.8,4.6,25,0,0,0
01-08-2025,PNQ,21.2,8.5,10.4,1,0,0
28-07-2025,BLR,34.7,8.6,11.7,0,1,0
08-12-2025,HYD,37.5,4.3,4.3,1,1,1
07-04-2025,AMD,14.3,5.4,30.5,1,1,0
11-11-2025,DEL,27.2,3.4,8.6,1,0,0
02-04-2025,MAA,20.9,7.8,19.3,1,0,0
22-07-2025,GOI,25.3,4.2,23.1,0,0,0
07-03-2025,PNQ,20.2,6.1,2.4,0,0,0
17-03-2025,COK,26.6,6.3,28.1,1,1,1
07-04-2025,DEL,15.1,6.5,8.4,1,0,1
31-07-2025,MAA,41.2,8.5,21.1,1,1,1
24-09-2025,CCU,10.2,9.2,5.7,0,0,0
13-03-2025,CCU,15.4,7,14.2,0,0,1
20-01-2025,MAA,16.2,10,15.8,1,1,1
19-03-2025,AMD,35.8,9.6,19.5,1,1,1
26-04-2025,HYD,16.5,6.9,3.9,0,1,1
01-08-2025,CCU,27.8,5.4,24.6,0,1,1
05-11-2025,PNQ,27.2,4.2,31.8,1,0,0
14-03-2025,AMD,26.7,3.2,4.2,0,1,1
19-07-2025,MAA,34,9.5,4.4,0,1,1
21-11-2025,PNQ,19.3,5.4,3.6,0,1,0
10-10-2025,HYD,14.7,4.1,11.1,1,1,1
09-04-2025,AMD,28.5,9.7,17,1,0,1
25-02-2025,AMD,34.2,7.2,27.3,0,0,0
19-08-2025,BOM,25.3,9.2,16.2,0,0,0
03-10-2025,HYD,37.8,4.6,1.1,0,0,0
09-03-2025,PNQ,36.5,2.1,15.6,1,0,1
14-08-2025,PNQ,15.8,5.5,31.7,1,0,1
13-11-2025,AMD,11,5.9,18,1,0,1
10-12-2025,MAA,16,7.7,24.1,1,1,1
23-01-2025,MAA,30.1,4.3,16.2,1,0,0
01-10-2025,MAA,11.5,7.1,18.8,0,1,1
30-04-2025,BOM,27.6,5.3,18.7,0,1,0
20-09-2025,PNQ,33.4,6,25,1,0,1
23-01-2025,DEL,36,10,15,0,1,1
31-01-2025,GOI,35.3,4.2,6.4,1,0,1
17-06-2025,MAA,41.1,3,1,0,1,1
22-10-2025,CCU,23.5,3.1,31.8,1,1,0
28-03-2025,AMD,14.2,7.4,29.7,1,1,0
23-03-2025,BLR,21.9,2.7,20.1,0,1,0
21-07-2025,COK,29.3,4.2,8.2,1,1,1
05-07-2025,COK,31.2,8.7,14.3,1,1,0
09-09-2025,PNQ,17.3,4.8,26,1,0,1
