"Date(year,month,day)",Airline,FlightID,OriginAirport,DestinationAirport,ScheduledDepartureTime,ActualDepartureTime,DepartureDelay,ScheduledArrTime,ActualArrTime,FlightStatus,distance,air_time
23-03-2025,Akasa Air,FL6727,PNQ,DEL,08:15:00,08:15:00,0,18:40:00,18:40:00,On Time,1652,2065
22-12-2025,Akasa Air,FL7073,AMD,BOM,07:15:00,07:15:00,0,19:15:00,19:15:00,On Time,504,720
03-12-2025,IndiGo,FL6777,BLR,HYD,14:15:00,14:15:00,0,05:12:00,05:12:00,On Time,808,897
01-07-2025,Air India,FL4024,BOM,MAA,05:45:00,05:45:00,0,01:27:00,01:27:00,On Time,1836,2622
08-04-2025,Vistara,FL9551,BOM,PNQ,07:30:00,07:30:00,0,22:42:00,22:42:00,On Time,821,912
23-12-2025,IndiGo,FL6708,GOI,HYD,16:30:00,16:30:00,0,12:51:00,12:51:00,On Time,2129,2661
03-04-2025,Vistara,FL3321,GOI,BOM,22:30:00,22:30:00,0,20:40:00,20:40:00,On Time,1064,1330
06-11-2025,Akasa Air,FL2573,PNQ,BLR,11:00:00,12:41:00,101,21:58:00,23:39:00,Delayed,527,658
20-03-2025,Air India,FL6030,CCU,GOI,06:30:00,06:30:00,0,16:07:00,16:07:00,On Time,520,577
03-12-2025,SpiceJet,FL4239,PNQ,BLR,15:15:00,,,16:15:00,,Cancelled,2058,2940
14-10-2025,IndiGo,FL7812,CCU,BLR,04:45:00,04:45:00,0,18:28:00,18:28:00,On Time,1811,2263
06-01-2025,Akasa Air,FL3623,MAA,AMD,06:00:00,06:00:00,0,03:18:00,03:18:00,On Time,1151,1278
19-04-2025,IndiGo,FL8410,AMD,BOM,16:45:00,16:45:00,0,06:02:00,06:02:00,On Time,558,797
28-11-2025,SpiceJet,FL4386,GOI,DEL,20:15:00,20:15:00,0,13:18:00,13:18:00,On Time,921,1023
24-05-2025,Akasa Air,FL5229,CCU,BLR,11:15:00,11:15:00,0,21:03:00,21:03:00,On Time,412,588
11-11-2025,Vistara,FL8664,AMD,HYD,14:30:00,14:30:00,0,20:48:00,20:48:00,On Time,1273,1818
08-12-2025,IndiGo,FL3929,MAA,DEL,00:00:00,01:13:00,73,12:12:00,13:25:00,Delayed,659,732
01-04-2025,Akasa Air,FL4325,MAA,CCU,03:30:00,03:30:00,0,18:43:00,18:43:00,On Time,2118,2353
11-02-2025,Akasa Air,FL6574,CCU,BLR,21:15:00,21:15:00,0,13:28:00,13:28:00,On Time,2172,2413
22-12-2025,Akasa Air,FL9680,CCU,PNQ,18:45:00,18:45:00,0,07:49:00,07:49:00,On Time,706,784
26-11-2025,IndiGo,FL3456,CCU,GOI,09:45:00,10:36:00,51,07:06:00,07:57:00,Delayed,1025,1281
12-12-2025,Vistara,FL6467,CCU,GOI,01:00:00,01:00:00,0,15:20:00,15:20:00,On Time,1610,2300
24-07-2025,Akasa Air,FL5260,DEL,AMD,13:30:00,13:30:00,0,00:47:00,00:47:00,On Time,610,677
04-01-2025,Akasa Air,FL8342,DEL,BOM,18:30:00,18:30:00,0,12:11:00,12:11:00,On Time,2001,2501
05-03-2025,Akasa Air,FL1175,HYD,DEL,04:15:00,04:15:00,0,20:42:00,20:42:00,On Time,889,987
25-08-2025,IndiGo,FL2908,HYD,BLR,02:30:00,02:30:00,0,04:08:00,04:08:00,On Time,1231,1538
12-04-2025,Vistara,FL2007,BLR,BOM,08:30:00,11:12:00,162,22:00:00,00:42:00,Delayed,648,810
27-06-2025,Air India,FL6251,CCU,PNQ,12:15:00,12:15:00,0,08:21:00,08:21:00,On Time,1086,1206
04-06-2025,IndiGo,FL2865,GOI,BLR,12:30:00,12:30:00,0,18:56:00,18:56:00,On Time,309,386
04-10-2025,SpiceJet,FL4829,CCU,AMD,12:00:00,12:00:00,0,08:22:00,08:22:00,On Time,1100,1222
22-04-2025,SpiceJet,FL3318,HYD,BOM,20:15:00,22:21:00,126,06:36:00,08:42:00,Delayed,1649,2061
25-04-2025,Vistara,FL7920,MAA,DEL,19:45:00,19:45:00,0,13:43:00,13:43:00,On Time,971,1078
10-10-2025,Akasa Air,FL4226,BOM,CCU,21:45:00,21:45:00,0,14:09:00,14:09:00,On Time,1697,2424
22-08-2025,Vistara,FL6554,PNQ,AMD,12:00:00,14:31:00,151,17:40:00,20:11:00,Delayed,306,340
12-03-2025,Air India,FL5922,HYD,GOI,07:00:00,07:00:00,0,17:28:00,17:28:00,On Time,1862,2068
10-06-2025,IndiGo,FL5180,BOM,CCU,00:15:00,00:15:00,0,23:10:00,23:10:00,On Time,1238,1375
19-09-2025,SpiceJet,FL1676,HYD,AMD,14:30:00,14:30:00,0,04:11:00,04:11:00,On Time,1809,2261
08-09-2025,IndiGo,FL3424,BOM,GOI,15:30:00,15:30:00,0,15:04:00,15:04:00,On Time,1998,2854
19-10-2025,Air India,FL8790,DEL,PNQ,21:00:00,21:00:00,0,07:11:00,07:11:00,On Time,1641,2051
20-08-2025,Air India,FL7057,DEL,CCU,22:30:00,22:30:00,0,22:33:00,22:33:00,On Time,1155,1443
18-04-2025,Air India,FL3262,GOI,HYD,07:00:00,07:00:00,0,22:04:00,22:04:00,On Time,814,904
01-10-2025,Vistara,FL5071,HYD,AMD,22:30:00,22:30:00,0,08:56:00,08:56:00,On Time,501,626
31-10-2025,SpiceJet,FL4348,MAA,HYD,16:00:00,16:00:00,0,02:45:00,02:45:00,On Time,516,645
22-09-2025,IndiGo,FL6764,PNQ,AMD,05:00:00,05:00:00,0,21:58:00,21:58:00,On Time,917,1018
07-08-2025,Air India,FL7534,PNQ,AMD,06:15:00,06:29:00,14,16:07:00,16:21:00,Delayed,415,592
12-12-2025,Air India,FL7066,BLR,HYD,19:30:00,19:30:00,0,16:27:00,16:27:00,On Time,880,1257
07-12-2025,Air India,FL4460,HYD,CCU,23:30:00,23:30:00,0,08:52:00,08:52:00,On Time,394,562
16-06-2025,Akasa Air,FL4191,DEL,MAA,22:00:00,22:00:00,0,12:35:00,12:35:00,On Time,1621,2315
30-01-2025,Air India,FL6624,PNQ,GOI,02:15:00,02:15:00,0,20:21:00,20:21:00,On Time,978,1086
08-09-2025,SpiceJet,FL1666,PNQ,BOM,18:30:00,18:30:00,0,06:35:00,06:35:00,On Time,1516,2165
31-08-2025,Akasa Air,FL3456,GOI,MAA,13:15:00,,,03:26:00,,Cancelled,766,851
25-09-2025,Air India,FL9987,GOI,DEL,08:00:00,08:00:00,0,03:23:00,03:23:00,On Time,1047,1163
19-09-2025,Vistara,FL9717,PNQ,DEL,23:30:00,23:30:00,0,11:58:00,11:58:00,On Time,524,748
28-04-2025,IndiGo,FL4121,BOM,PNQ,22:15:00,22:15:00,0,18:26:00,18:26:00,On Time,969,1211
28-01-2025,SpiceJet,FL9618,PNQ,BLR,07:15:00,07:15:00,0,05:56:00,05:56:00,On Time,1225,1361
17-02-2025,Akasa Air,FL5995,AMD,MAA,23:45:00,23:45:00,0,02:17:00,02:17:00,On Time,1115,1592
12-12-2025,IndiGo,FL2586,BOM,PNQ,13:00:00,13:00:00,0,18:05:00,18:05:00,On Time,1222,1745
24-02-2025,Vistara,FL2493,AMD,HYD,13:00:00,13:00:00,0,23:58:00,23:58:00,On Time,1889,2098
15-11-2025,Vistara,FL9803,AMD,BOM,17:00:00,17:00:00,0,02:12:00,02:12:00,On Time,497,552
14-12-2025,Air India,FL6042,AMD,GOI,08:15:00,08:15:00,0,21:03:00,21:03:00,On Time,1767,2208
21-12-2025,Air India,FL8993,MAA,CCU,04:00:00,04:00:00,0,16:31:00,16:31:00,On Time,1534,2191
08-03-2025,Vistara,FL2152,HYD,BOM,11:00:00,11:00:00,0,19:46:00,19:46:00,On Time,1573,1966
02-02-2025,IndiGo,FL5191,DEL,AMD,17:00:00,18:25:00,85,14:41:00,16:06:00,Delayed,1041,1301
18-05-2025,Air India,FL7743,BOM,HYD,03:30:00,03:30:00,0,12:03:00,12:03:00,On Time,411,513
28-09-2025,Akasa Air,FL7950,DEL,AMD,14:00:00,14:31:00,31,21:21:00,21:52:00,Delayed,353,441
06-02-2025,Akasa Air,FL3189,GOI,MAA,22:00:00,23:22:00,82,13:42:00,15:04:00,Delayed,2144,2382
01-09-2025,Air India,FL9390,MAA,AMD,10:15:00,10:15:00,0,15:28:00,15:28:00,On Time,1578,1753
26-09-2025,Akasa Air,FL8284,HYD,BOM,14:30:00,14:30:00,0,12:51:00,12:51:00,On Time,939,1341
17-07-2025,Vistara,FL1751,GOI,PNQ,09:45:00,10:25:00,40,11:53:00,12:33:00,Delayed,2106,3008
18-08-2025,Akasa Air,FL1822,DEL,HYD,09:15:00,09:15:00,0,02:15:00,02:15:00,On Time,1968,2460
21-10-2025,Akasa Air,FL3369,GOI,CCU,20:00:00,,,16:00:00,,Cancelled,1080,1200
08-06-2025,Air India,FL7601,AMD,HYD,07:45:00,07:45:00,0,03:11:00,03:11:00,On Time,2085,2606
31-05-2025,IndiGo,FL2059,CCU,HYD,02:00:00,02:00:00,0,05:01:00,05:01:00,On Time,1459,1621
31-12-2025,Air India,FL2614,MAA,CCU,07:15:00,,,07:10:00,,Cancelled,1005,1435
17-10-2025,SpiceJet,FL6851,GOI,DEL,01:30:00,04:12:00,162,09:50:00,12:32:00,Delayed,450,500
18-04-2025,Akasa Air,FL6819,BOM,BLR,14:15:00,14:15:00,0,20:17:00,20:17:00,On Time,1262,1802
26-06-2025,SpiceJet,FL7819,BLR,MAA,14:45:00,14:45:00,0,23:50:00,23:50:00,On Time,491,545
14-08-2025,Akasa Air,FL4371,HYD,BOM,14:45:00,14:45:00,0,09:58:00,09:58:00,On Time,2075,2593
02-11-2025,Vistara,FL8789,CCU,PNQ,03:30:00,04:28:00,58,20:52:00,21:50:00,Delayed,1986,2482
27-05-2025,Air India,FL7502,CCU,GOI,12:00:00,12:00:00,0,04:42:00,04:42:00,On Time,702,1002
08-01-2025,Vistara,FL7929,GOI,AMD,01:30:00,01:30:00,0,10:11:00,10:11:00,On Time,1765,1961
13-03-2025,Vistara,FL2636,GOI,MAA,11:15:00,11:15:00,0,22:31:00,22:31:00,On Time,541,676
22-10-2025,SpiceJet,FL9542,GOI,CCU,05:00:00,05:00:00,0,13:13:00,13:13:00,On Time,1740,1933
20-10-2025,Akasa Air,FL2613,HYD,AMD,16:45:00,16:45:00,0,23:11:00,23:11:00,On Time,348,386
04-11-2025,IndiGo,FL7994,BLR,CCU,05:45:00,05:45:00,0,12:22:00,12:22:00,On Time,1654,1837
10-09-2025,Air India,FL1915,HYD,BOM,11:00:00,13:55:00,175,01:34:00,04:29:00,Delayed,612,874
19-05-2025,Akasa Air,FL2635,PNQ,GOI,23:45:00,23:45:00,0,09:52:00,09:52:00,On Time,425,607
04-11-2025,IndiGo,FL4363,AMD,BLR,04:00:00,04:00:00,0,02:50:00,02:50:00,On Time,1967,2810
11-11-2025,Air India,FL9389,MAA,HYD,05:30:00,05:30:00,0,15:41:00,15:41:00,On Time,1436,2051
03-01-2025,IndiGo,FL8926,MAA,AMD,17:15:00,17:15:00,0,07:30:00,07:30:00,On Time,684,855
03-07-2025,SpiceJet,FL9706,CCU,DEL,11:45:00,11:45:00,0,18:37:00,18:37:00,On Time,1297,1852
15-12-2025,Air India,FL2032,MAA,CCU,18:30:00,18:41:00,11,06:54:00,07:05:00,Delayed,1529,2184
19-02-2025,Akasa Air,FL3916,AMD,BOM,02:45:00,02:51:00,6,08:00:00,08:06:00,Delayed,1580,1755
14-06-2025,IndiGo,FL8209,CCU,GOI,10:45:00,12:30:00,105,08:18:00,10:03:00,Delayed,1164,1293
24-01-2025,Air India,FL3248,AMD,PNQ,00:00:00,01:31:00,91,01:26:00,02:57:00,Delayed,1374,1526
18-12-2025,Akasa Air,FL2033,GOI,BLR,17:00:00,17:00:00,0,07:05:00,07:05:00,On Time,1828,2285
04-01-2025,IndiGo,FL5745,PNQ,AMD,04:15:00,04:15:00,0,09:27:00,09:27:00,On Time,1402,1752
21-01-2025,Vistara,FL4996,PNQ,GOI,05:00:00,05:00:00,0,05:31:00,05:31:00,On Time,2038,2911
01-07-2025,IndiGo,FL9947,DEL,GOI,19:15:00,19:15:00,0,12:12:00,12:12:00,On Time,1966,2457
30-01-2025,Air India,FL5589,CCU,GOI,17:30:00,17:30:00,0,16:54:00,16:54:00,On Time,1264,1404
12-12-2025,Air India,FL8576,HYD,PNQ,05:00:00,05:00:00,0,16:35:00,16:35:00,On Time,1708,2135
13-09-2025,Vistara,FL3213,BOM,MAA,06:00:00,06:00:00,0,09:44:00,09:44:00,On Time,1165,1664
08-12-2025,IndiGo,FL7029,PNQ,CCU,12:45:00,15:35:00,170,04:05:00,06:55:00,Delayed,1652,2360
17-03-2025,Air India,FL7351,MAA,DEL,06:15:00,06:15:00,0,07:05:00,07:05:00,On Time,1192,1490
17-06-2025,Akasa Air,FL2192,GOI,CCU,08:45:00,08:45:00,0,16:02:00,16:02:00,On Time,1314,1877
02-12-2025,IndiGo,FL8347,BOM,CCU,22:30:00,01:03:00,153,16:21:00,18:54:00,Delayed,2009,2511
06-12-2025,SpiceJet,FL2810,CCU,DEL,12:45:00,14:16:00,91,05:32:00,07:03:00,Delayed,1958,2447
12-04-2025,SpiceJet,FL9963,BLR,HYD,21:15:00,21:15:00,0,16:25:00,16:25:00,On Time,920,1150
16-04-2025,SpiceJet,FL5986,GOI,AMD,02:15:00,02:15:00,0,11:05:00,11:05:00,On Time,1576,1970
19-06-2025,Akasa Air,FL5050,BLR,GOI,05:00:00,06:28:00,88,19:15:00,20:43:00,Delayed,2066,2295
18-11-2025,Air India,FL6852,DEL,MAA,07:00:00,07:00:00,0,17:50:00,17:50:00,On Time,1463,2090
18-10-2025,Akasa Air,FL1755,BLR,GOI,11:45:00,11:45:00,0,16:23:00,16:23:00,On Time,1547,1718
16-11-2025,Air India,FL4506,GOI,MAA,21:00:00,22:04:00,64,11:00:00,12:04:00,Delayed,756,840
29-07-2025,IndiGo,FL8440,MAA,PNQ,18:45:00,18:45:00,0,09:52:00,09:52:00,On Time,1643,2347
25-11-2025,IndiGo,FL5468,AMD,CCU,07:15:00,07:15:00,0,11:32:00,11:32:00,On Time,1358,1697
12-08-2025,Vistara,FL5000,HYD,BOM,08:15:00,08:15:00,0,22:17:00,22:17:00,On Time,1826,2282
28-08-2025,Air India,FL8519,BLR,MAA,18:00:00,18:00:00,0,06:53:00,06:53:00,On Time,1992,2213
29-11-2025,IndiGo,FL8112,BOM,HYD,23:30:00,23:30:00,0,12:01:00,12:01:00,On Time,526,751
18-10-2025,Air India,FL8018,BLR,PNQ,19:30:00,20:17:00,47,10:05:00,10:52:00,Delayed,2084,2315
25-02-2025,SpiceJet,FL1057,MAA,CCU,16:15:00,16:15:00,0,02:58:00,02:58:00,On Time,579,643
05-08-2025,Air India,FL9226,CCU,AMD,20:15:00,20:15:00,0,14:47:00,14:47:00,On Time,2042,2552
27-09-2025,Air India,FL3226,GOI,MAA,20:00:00,20:00:00,0,11:02:00,11:02:00,On Time,2108,2342
23-07-2025,Akasa Air,FL7260,BOM,PNQ,03:15:00,03:15:00,0,06:07:00,06:07:00,On Time,1451,1612
26-10-2025,Akasa Air,FL6933,HYD,BLR,08:45:00,08:45:00,0,15:40:00,15:40:00,On Time,374,415
06-12-2025,Vistara,FL7992,CCU,HYD,06:15:00,06:15:00,0,02:06:00,02:06:00,On Time,1072,1191
04-07-2025,IndiGo,FL3077,MAA,GOI,09:45:00,09:45:00,0,23:06:00,23:06:00,On Time,721,801
16-05-2025,IndiGo,FL3814,HYD,BLR,09:15:00,10:31:00,76,10:51:00,12:07:00,Delayed,1383,1536
27-06-2025,Akasa Air,FL3139,CCU,MAA,14:00:00,14:00:00,0,08:11:00,08:11:00,On Time,2025,2531
08-03-2025,IndiGo,FL5488,CCU,BLR,06:45:00,06:45:00,0,00:07:00,00:07:00,On Time,1986,2482
07-09-2025,Vistara,FL4316,BOM,CCU,00:30:00,00:30:00,0,06:56:00,06:56:00,On Time,1461,1826
16-04-2025,IndiGo,FL2654,MAA,AMD,18:45:00,18:53:00,8,18:09:00,18:17:00,Delayed,983,1404
03-07-2025,Akasa Air,FL7304,CCU,PNQ,07:15:00,07:15:00,0,18:41:00,18:41:00,On Time,618,686
12-06-2025,Vistara,FL2327,AMD,PNQ,23:00:00,23:06:00,6,16:51:00,16:57:00,Delayed,1758,2511
22-11-2025,SpiceJet,FL5471,MAA,AMD,14:45:00,14:45:00,0,00:43:00,00:43:00,On Time,479,598
01-12-2025,Vistara,FL4116,MAA,CCU,18:15:00,20:52:00,157,06:19:00,08:56:00,Delayed,1948,2164
25-11-2025,Vistara,FL1085,BOM,HYD,08:15:00,08:15:00,0,09:46:00,09:46:00,On Time,2080,2971
17-03-2025,Akasa Air,FL3661,GOI,CCU,19:15:00,19:15:00,0,23:37:00,23:37:00,On Time,1362,1702
29-01-2025,Air India,FL6664,PNQ,BLR,02:30:00,02:30:00,0,20:52:00,20:52:00,On Time,1780,2542
20-09-2025,Vistara,FL4538,PNQ,DEL,21:30:00,23:43:00,133,17:06:00,19:19:00,Delayed,1059,1176
18-12-2025,SpiceJet,FL3632,AMD,DEL,04:00:00,04:42:00,42,14:57:00,15:39:00,Delayed,1678,2097
18-12-2025,SpiceJet,FL3540,BOM,HYD,04:30:00,04:30:00,0,16:28:00,16:28:00,On Time,503,718
29-05-2025,IndiGo,FL6415,GOI,AMD,14:30:00,15:05:00,35,07:43:00,08:18:00,Delayed,827,1033
30-05-2025,Vistara,FL2444,MAA,DEL,03:45:00,03:45:00,0,14:41:00,14:41:00,On Time,1887,2096
26-05-2025,IndiGo,FL6551,PNQ,DEL,10:00:00,10:00:00,0,21:17:00,21:17:00,On Time,542,677
29-01-2025,Vistara,FL3978,BLR,CCU,07:30:00,07:30:00,0,18:32:00,18:32:00,On Time,530,662
20-02-2025,Vistara,FL6367,AMD,PNQ,10:45:00,,,18:57:00,,Cancelled,345,492
18-07-2025,Vistara,FL3560,BLR,CCU,22:00:00,22:00:00,0,06:47:00,06:47:00,On Time,422,527
26-05-2025,Air India,FL1511,AMD,PNQ,06:15:00,08:38:00,143,09:15:00,11:38:00,Delayed,1458,1620
13-04-2025,Akasa Air,FL8178,CCU,BOM,11:00:00,12:09:00,69,23:21:00,00:30:00,Delayed,1963,2181
05-01-2025,SpiceJet,FL7048,DEL,BLR,00:45:00,00:45:00,0,23:55:00,23:55:00,On Time,1251,1390
23-07-2025,SpiceJet,FL7323,BLR,HYD,12:15:00,,,21:10:00,,Cancelled,1383,1975
26-07-2025,Vistara,FL6897,PNQ,HYD,01:00:00,01:00:00,0,14:33:00,14:33:00,On Time,1803,2253
21-08-2025,Akasa Air,FL2282,HYD,MAA,20:00:00,20:00:00,0,01:58:00,01:58:00,On Time,1619,1798
29-05-2025,SpiceJet,FL4665,CCU,PNQ,11:30:00,11:30:00,0,13:23:00,13:23:00,On Time,1243,1553
12-04-2025,Air India,FL1714,GOI,CCU,00:30:00,00:30:00,0,23:15:00,23:15:00,On Time,956,1365
28-04-2025,SpiceJet,FL8871,MAA,DEL,16:30:00,16:30:00,0,22:35:00,22:35:00,On Time,1264,1805
28-05-2025,Vistara,FL2229,DEL,BLR,14:15:00,16:50:00,155,13:49:00,16:24:00,Delayed,1998,2854
07-03-2025,Akasa Air,FL4050,DEL,MAA,22:30:00,00:42:00,132,15:11:00,17:23:00,Delayed,901,1001
11-07-2025,Vistara,FL7392,BLR,DEL,21:30:00,21:30:00,0,11:32:00,11:32:00,On Time,1598,2282
17-08-2025,IndiGo,FL2810,HYD,MAA,07:30:00,08:57:00,87,01:32:00,02:59:00,Delayed,2018,2522
06-10-2025,Vistara,FL1968,AMD,GOI,07:15:00,07:15:00,0,20:52:00,20:52:00,On Time,572,817
25-03-2025,SpiceJet,FL6082,BOM,MAA,18:00:00,18:00:00,0,09:07:00,09:07:00,On Time,817,907
03-08-2025,SpiceJet,FL7007,BOM,DEL,06:30:00,09:28:00,178,21:11:00,00:09:00,Delayed,617,881
29-01-2025,IndiGo,FL8835,BLR,HYD,12:15:00,13:18:00,63,23:47:00,00:50:00,Delayed,1919,2132
05-09-2025,Vistara,FL1804,CCU,PNQ,00:45:00,00:52:00,7,19:33:00,19:40:00,Delayed,903,1128
08-08-2025,Air India,FL4962,BLR,MAA,22:30:00,23:04:00,34,17:01:00,17:35:00,Delayed,1786,2551
18-01-2025,IndiGo,FL1044,MAA,BOM,03:15:00,03:15:00,0,05:47:00,05:47:00,On Time,1115,1592
18-06-2025,Air India,FL2336,CCU,DEL,07:15:00,07:15:00,0,08:47:00,08:47:00,On Time,2081,2972
10-06-2025,Akasa Air,FL6864,GOI,CCU,01:00:00,01:20:00,20,11:22:00,11:42:00,Delayed,1444,2062
21-06-2025,Vistara,FL1159,BOM,BLR,11:45:00,11:45:00,0,04:38:00,04:38:00,On Time,1963,2453
13-06-2025,SpiceJet,FL8173,BOM,DEL,06:30:00,06:30:00,0,04:28:00,04:28:00,On Time,1931,2758
13-01-2025,SpiceJet,FL5250,MAA,PNQ,03:45:00,03:45:00,0,21:45:00,21:45:00,On Time,756,1080
09-12-2025,IndiGo,FL9613,HYD,BLR,08:15:00,08:15:00,0,18:19:00,18:19:00,On Time,1840,2044
17-07-2025,Air India,FL9883,DEL,HYD,05:00:00,05:00:00,0,20:31:00,20:31:00,On Time,838,931
15-01-2025,IndiGo,FL4980,HYD,CCU,05:45:00,,,23:22:00,,Cancelled,1998,2497
01-11-2025,Air India,FL6998,AMD,DEL,10:30:00,10:30:00,0,22:38:00,22:38:00,On Time,510,728
13-11-2025,Akasa Air,FL6928,BLR,BOM,21:15:00,21:15:00,0,05:45:00,05:45:00,On Time,1755,1950
17-04-2025,Akasa Air,FL7117,BLR,PNQ,07:15:00,08:51:00,96,05:15:00,06:51:00,Delayed,1932,2760
05-01-2025,Vistara,FL4490,BOM,AMD,05:45:00,05:45:00,0,17:55:00,17:55:00,On Time,584,730
22-04-2025,IndiGo,FL6476,GOI,PNQ,07:15:00,07:15:00,0,08:08:00,08:08:00,On Time,1195,1493
09-11-2025,IndiGo,FL5679,GOI,HYD,07:00:00,07:00:00,0,18:37:00,18:37:00,On Time,1710,2137
28-08-2025,Air India,FL2203,MAA,BLR,09:30:00,09:30:00,0,02:13:00,02:13:00,On Time,803,1003
05-11-2025,SpiceJet,FL3550,GOI,DEL,09:00:00,11:35:00,155,11:58:00,14:33:00,Delayed,2141,3058
16-07-2025,Air India,FL3127,GOI,AMD,17:00:00,17:00:00,0,03:42:00,03:42:00,On Time,1666,2082
31-10-2025,Air India,FL2733,HYD,MAA,03:45:00,03:45:00,0,01:52:00,01:52:00,On Time,1195,1327
05-05-2025,Air India,FL8037,MAA,HYD,21:15:00,21:15:00,0,12:22:00,12:22:00,On Time,635,907
08-05-2025,Akasa Air,FL4876,PNQ,BOM,15:00:00,15:00:00,0,04:55:00,04:55:00,On Time,752,835
19-03-2025,Akasa Air,FL3844,CCU,GOI,20:30:00,20:30:00,0,07:56:00,07:56:00,On Time,1701,2126
08-01-2025,Vistara,FL8421,BLR,BOM,12:15:00,12:15:00,0,21:38:00,21:38:00,On Time,507,563
31-08-2025,Akasa Air,FL4843,HYD,MAA,22:45:00,22:45:00,0,23:45:00,23:45:00,On Time,2058,2940
03-10-2025,SpiceJet,FL9703,DEL,MAA,06:00:00,06:00:00,0,19:03:00,19:03:00,On Time,627,783
16-06-2025,IndiGo,FL9268,HYD,GOI,00:30:00,01:20:00,50,08:27:00,09:17:00,Delayed,382,477
